id,tema,link,categoria,preco
58,Primeira Guerra Mundial,https://www.slydesign.com.br/loja/slide-primeira-guerra-mundial,Slide,18.99
59,Revolução Russa,https://www.slydesign.com.br/loja/slide-revolucao-russa,Slide,18.99
60,O Incrível Mundo de Gumball,https://www.slydesign.com.br/loja/modelo-o-incrivel-mundo-de-gumball,Modelo,14.99
61,Copa do Mundo – Grupo C,https://www.slydesign.com.br/loja/slide-copa-do-mundo-grupo-c,Slide,12.99
62,Homem Aranha,https://www.slydesign.com.br/loja/modelo-homem-aranha,Modelo,14.99
63,Ursos Sem Curso,https://www.slydesign.com.br/loja/modelo-ursos-sem-curso,Modelo,14.99
64,Barbie,https://www.slydesign.com.br/loja/modelo-barbie,Modelo,14.99
65,Haikyuu,https://www.slydesign.com.br/loja/modelo-haikyuu,Modelo,14.99
66,Digital Circus,https://www.slydesign.com.br/loja/modelo-digital-circus,Modelo,14.99
67,Duolingo,https://www.slydesign.com.br/loja/modelo-duolingo,Modelo,12.99
68,Minecraft,https://www.slydesign.com.br/loja/modelo-minecraft,Modelo,14.99
69,Spotify,https://www.slydesign.com.br/loja/modelo-spotify,Modelo,14.0
70,ChatGPT,https://www.slydesign.com.br/loja/slide-chatgpt,Slide,14.99
71,Interestellar,https://www.slydesign.com.br/loja/modelo-interestellar,Modelo,14.99
72,Jovens Titãs,https://www.slydesign.com.br/loja/modelo-jovens-titas,Modelo,14.99
